Sexo;Provincia;Municipio;Periodo;Total
Total;28 Madrid;Paracuellos de Jarama;1 de enero de 2022;26450
Total;28 Madrid;Parla;1 de enero de 2022;130577
Total;28 Madrid;Patones;1 de enero de 2022;536
Total;28 Madrid;Pedrezuela;1 de enero de 2022;6307
Total;28 Madrid;Pelayos de la Presa;1 de enero de 2022;2867
Total;28 Madrid;Perales de Tajuña;1 de enero de 2022;3117
Total;28 Madrid;Pezuela de las Torres;1 de enero de 2022;931
Total;28 Madrid;Pinilla del Valle;1 de enero de 2022;198
Total;28 Madrid;Pinto;1 de enero de 2022;54088
Total;28 Madrid;Piñuécar-Gandullas;1 de enero de 2022;184
Total;28 Madrid;Pozuelo de Alarcón;1 de enero de 2022;87728
Total;28 Madrid;Pozuelo del Rey;1 de enero de 2022;1178
Total;28 Madrid;Prádena del Rincón;1 de enero de 2022;147
Total;28 Madrid;Puebla de la Sierra;1 de enero de 2022;84
Total;28 Madrid;Puentes Viejas;1 de enero de 2022;697
Total;28 Madrid;Quijorna;1 de enero de 2022;3683
Total;28 Madrid;Rascafría;1 de enero de 2022;1736
Total;28 Madrid;Redueña;1 de enero de 2022;298
Total;28 Madrid;Ribatejada;1 de enero de 2022;871
Total;28 Madrid;Rivas-Vaciamadrid;1 de enero de 2022;96690
Total;28 Madrid;Robledillo de la Jara;1 de enero de 2022;114
Total;28 Madrid;Robledo de Chavela;1 de enero de 2022;4587
Total;28 Madrid;Robregordo;1 de enero de 2022;70
Total;28 Madrid;Rozas de Madrid, Las;1 de enero de 2022;95725
Total;28 Madrid;Rozas de Puerto Real;1 de enero de 2022;577
Total;28 Madrid;San Agustín del Guadalix;1 de enero de 2022;13608
Total;28 Madrid;San Fernando de Henares;1 de enero de 2022;38904
Total;28 Madrid;San Lorenzo de El Escorial;1 de enero de 2022;18423
Total;28 Madrid;San Martín de la Vega;1 de enero de 2022;19927
Total;28 Madrid;San Martín de Valdeiglesias;1 de enero de 2022;8812
Total;28 Madrid;San Sebastián de los Reyes;1 de enero de 2022;91083
Total;28 Madrid;Santa María de la Alameda;1 de enero de 2022;1499
Total;28 Madrid;Santorcaz;1 de enero de 2022;941
Total;28 Madrid;Santos de la Humosa, Los;1 de enero de 2022;2751
Total;28 Madrid;Serna del Monte, La;1 de enero de 2022;108
Total;28 Madrid;Serranillos del Valle;1 de enero de 2022;4509
Total;28 Madrid;Sevilla la Nueva;1 de enero de 2022;9361
Total;28 Madrid;Somosierra;1 de enero de 2022;87
Total;28 Madrid;Soto del Real;1 de enero de 2022;9188
Total;28 Madrid;Talamanca de Jarama;1 de enero de 2022;4210
Total;28 Madrid;Tielmes;1 de enero de 2022;2783
Total;28 Madrid;Titulcia;1 de enero de 2022;1336
Total;28 Madrid;Torrejón de Ardoz;1 de enero de 2022;134733
Total;28 Madrid;Torrejón de la Calzada;1 de enero de 2022;9947
Total;28 Madrid;Torrejón de Velasco;1 de enero de 2022;4685
Total;28 Madrid;Torrelaguna;1 de enero de 2022;4940
Total;28 Madrid;Torrelodones;1 de enero de 2022;24775
Total;28 Madrid;Torremocha de Jarama;1 de enero de 2022;1097
Total;28 Madrid;Torres de la Alameda;1 de enero de 2022;7714
Total;28 Madrid;Tres Cantos;1 de enero de 2022;50187
Total;28 Madrid;Valdaracete;1 de enero de 2022;627
Total;28 Madrid;Valdeavero;1 de enero de 2022;1701
Total;28 Madrid;Valdelaguna;1 de enero de 2022;1016
Total;28 Madrid;Valdemanco;1 de enero de 2022;1033
Total;28 Madrid;Valdemaqueda;1 de enero de 2022;798
Total;28 Madrid;Valdemorillo;1 de enero de 2022;13453
Total;28 Madrid;Valdemoro;1 de enero de 2022;79100
Total;28 Madrid;Valdeolmos-Alalpardo;1 de enero de 2022;4396
Total;28 Madrid;Valdepiélagos;1 de enero de 2022;621
Total;28 Madrid;Valdetorres de Jarama;1 de enero de 2022;4830
Total;28 Madrid;Valdilecha;1 de enero de 2022;3104
Total;28 Madrid;Valverde de Alcalá;1 de enero de 2022;532
Total;28 Madrid;Velilla de San Antonio;1 de enero de 2022;12770
Total;28 Madrid;Vellón, El;1 de enero de 2022;2124
Total;28 Madrid;Venturada;1 de enero de 2022;2445
